0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:30:25 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:30:25 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:30:25 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:31:11 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:31:41 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:31:41 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:31:41 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:31:41 +0530] "GET /E_Commerce_Website/images/icon.png HTTP/1.1" 200 17951
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:31:42 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:31:42 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:31:42 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:31:42 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:31:42 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:31:42 +0530] "GET /E_Commerce_Website/CSS/index-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Dec/2024:16:31:42 +0530] "GET /E_Commerce_Website/ HTTP/1.1" 200 470
